SAM2 Video Prediction: 01_dog
==================================================
Input: C:\workspace\SAM2\.dataset\video_samples\01_dog\01_dog.mp4
Frames: 289, Size: 1280x720
FPS: 30.0
Checkpoint: loaded
Device: cuda
Inference: 26.45s (10.9 FPS)

Frame 0: objs=[1], area=611
Frame 1: objs=[1], area=655
Saving: 7.75s
Pipeline total: 35.31s
Frame 2: objs=[1], area=690
Frame 3: objs=[1], area=552
Frame 4: objs=[1], area=594
Frame 5: objs=[1], area=519
Frame 6: objs=[1], area=510
Frame 7: objs=[1], area=543
Frame 8: objs=[1], area=516
Frame 9: objs=[1], area=538
Frame 10: objs=[1], area=639
Frame 11: objs=[1], area=696
Frame 12: objs=[1], area=690
Frame 13: objs=[1], area=751
Frame 14: objs=[1], area=735
Frame 15: objs=[1], area=668
Frame 16: objs=[1], area=725
Frame 17: objs=[1], area=641
Frame 18: objs=[1], area=790
Frame 19: objs=[1], area=707
Frame 20: objs=[1], area=809
Frame 21: objs=[1], area=734
Frame 22: objs=[1], area=689
Frame 23: objs=[1], area=587
Frame 24: objs=[1], area=607
Frame 25: objs=[1], area=541
Frame 26: objs=[1], area=47
Frame 27: objs=[1], area=0
Frame 28: objs=[1], area=0
Frame 29: objs=[1], area=0
Frame 30: objs=[1], area=0
Frame 31: objs=[1], area=0
Frame 32: objs=[1], area=0
Frame 33: objs=[1], area=0
Frame 34: objs=[1], area=0
Frame 35: objs=[1], area=0
Frame 36: objs=[1], area=0
Frame 37: objs=[1], area=0
Frame 38: objs=[1], area=0
Frame 39: objs=[1], area=95
Frame 40: objs=[1], area=731
Frame 41: objs=[1], area=856
Frame 42: objs=[1], area=791
Frame 43: objs=[1], area=751
Frame 44: objs=[1], area=776
Frame 45: objs=[1], area=797
Frame 46: objs=[1], area=694
Frame 47: objs=[1], area=908
Frame 48: objs=[1], area=798
Frame 49: objs=[1], area=651
Frame 50: objs=[1], area=579
Frame 51: objs=[1], area=556
Frame 52: objs=[1], area=591
Frame 53: objs=[1], area=609
Frame 54: objs=[1], area=581
Frame 55: objs=[1], area=609
Frame 56: objs=[1], area=670
Frame 57: objs=[1], area=566
Frame 58: objs=[1], area=0
Frame 59: objs=[1], area=0
Frame 60: objs=[1], area=0
Frame 61: objs=[1], area=0
Frame 62: objs=[1], area=0
Frame 63: objs=[1], area=0
Frame 64: objs=[1], area=0
Frame 65: objs=[1], area=0
Frame 66: objs=[1], area=0
Frame 67: objs=[1], area=0
Frame 68: objs=[1], area=0
Frame 69: objs=[1], area=0
Frame 70: objs=[1], area=0
Frame 71: objs=[1], area=0
Frame 72: objs=[1], area=0
Frame 73: objs=[1], area=0
Frame 74: objs=[1], area=0
Frame 75: objs=[1], area=0
Frame 76: objs=[1], area=0
Frame 77: objs=[1], area=0
Frame 78: objs=[1], area=0
Frame 79: objs=[1], area=0
Frame 80: objs=[1], area=0
Frame 81: objs=[1], area=0
Frame 82: objs=[1], area=0
Frame 83: objs=[1], area=0
Frame 84: objs=[1], area=0
Frame 85: objs=[1], area=0
Frame 86: objs=[1], area=0
Frame 87: objs=[1], area=0
Frame 88: objs=[1], area=0
Frame 89: objs=[1], area=0
Frame 90: objs=[1], area=0
Frame 91: objs=[1], area=0
Frame 92: objs=[1], area=0
Frame 93: objs=[1], area=0
Frame 94: objs=[1], area=0
Frame 95: objs=[1], area=0
Frame 96: objs=[1], area=260
Frame 97: objs=[1], area=216
Frame 98: objs=[1], area=232
Frame 99: objs=[1], area=245
Frame 100: objs=[1], area=258
Frame 101: objs=[1], area=246
Frame 102: objs=[1], area=300
Frame 103: objs=[1], area=236
Frame 104: objs=[1], area=230
Frame 105: objs=[1], area=233
Frame 106: objs=[1], area=324
Frame 107: objs=[1], area=330
Frame 108: objs=[1], area=294
Frame 109: objs=[1], area=188
Frame 110: objs=[1], area=237
Frame 111: objs=[1], area=273
Frame 112: objs=[1], area=298
Frame 113: objs=[1], area=327
Frame 114: objs=[1], area=286
Frame 115: objs=[1], area=169
Frame 116: objs=[1], area=230
Frame 117: objs=[1], area=313
Frame 118: objs=[1], area=292
Frame 119: objs=[1], area=363
Frame 120: objs=[1], area=290
Frame 121: objs=[1], area=227
Frame 122: objs=[1], area=203
Frame 123: objs=[1], area=203
Frame 124: objs=[1], area=259
Frame 125: objs=[1], area=270
Frame 126: objs=[1], area=200
Frame 127: objs=[1], area=210
Frame 128: objs=[1], area=180
Frame 129: objs=[1], area=220
Frame 130: objs=[1], area=201
Frame 131: objs=[1], area=237
Frame 132: objs=[1], area=226
Frame 133: objs=[1], area=320
Frame 134: objs=[1], area=360
Frame 135: objs=[1], area=406
Frame 136: objs=[1], area=304
Frame 137: objs=[1], area=416
Frame 138: objs=[1], area=419
Frame 139: objs=[1], area=488
Frame 140: objs=[1], area=488
Frame 141: objs=[1], area=457
Frame 142: objs=[1], area=510
Frame 143: objs=[1], area=540
Frame 144: objs=[1], area=598
Frame 145: objs=[1], area=469
Frame 146: objs=[1], area=640
Frame 147: objs=[1], area=770
Frame 148: objs=[1], area=875
Frame 149: objs=[1], area=471
Frame 150: objs=[1], area=514
Frame 151: objs=[1], area=763
Frame 152: objs=[1], area=763
Frame 153: objs=[1], area=579
Frame 154: objs=[1], area=527
Frame 155: objs=[1], area=599
Frame 156: objs=[1], area=521
Frame 157: objs=[1], area=525
Frame 158: objs=[1], area=614
Frame 159: objs=[1], area=523
Frame 160: objs=[1], area=829
Frame 161: objs=[1], area=496
Frame 162: objs=[1], area=845
Frame 163: objs=[1], area=1016
Frame 164: objs=[1], area=1168
Frame 165: objs=[1], area=1175
Frame 166: objs=[1], area=1321
Frame 167: objs=[1], area=1249
Frame 168: objs=[1], area=1061
Frame 169: objs=[1], area=762
Frame 170: objs=[1], area=804
Frame 171: objs=[1], area=855
Frame 172: objs=[1], area=918
Frame 173: objs=[1], area=801
Frame 174: objs=[1], area=823
Frame 175: objs=[1], area=847
Frame 176: objs=[1], area=818
Frame 177: objs=[1], area=1050
Frame 178: objs=[1], area=1124
Frame 179: objs=[1], area=1208
Frame 180: objs=[1], area=1259
Frame 181: objs=[1], area=1321
Frame 182: objs=[1], area=1325
Frame 183: objs=[1], area=1341
Frame 184: objs=[1], area=1328
Frame 185: objs=[1], area=1284
Frame 186: objs=[1], area=1368
Frame 187: objs=[1], area=1285
Frame 188: objs=[1], area=1239
Frame 189: objs=[1], area=1248
Frame 190: objs=[1], area=1372
Frame 191: objs=[1], area=1378
Frame 192: objs=[1], area=1395
Frame 193: objs=[1], area=1419
Frame 194: objs=[1], area=1388
Frame 195: objs=[1], area=1427
Frame 196: objs=[1], area=1352
Frame 197: objs=[1], area=1479
Frame 198: objs=[1], area=1381
Frame 199: objs=[1], area=1419
Frame 200: objs=[1], area=1330
Frame 201: objs=[1], area=1369
Frame 202: objs=[1], area=1289
Frame 203: objs=[1], area=1276
Frame 204: objs=[1], area=1297
Frame 205: objs=[1], area=1304
Frame 206: objs=[1], area=1431
Frame 207: objs=[1], area=1261
Frame 208: objs=[1], area=1452
Frame 209: objs=[1], area=1490
Frame 210: objs=[1], area=1516
Frame 211: objs=[1], area=1567
Frame 212: objs=[1], area=1576
Frame 213: objs=[1], area=1595
Frame 214: objs=[1], area=1589
Frame 215: objs=[1], area=1609
Frame 216: objs=[1], area=1621
Frame 217: objs=[1], area=1617
Frame 218: objs=[1], area=1617
Frame 219: objs=[1], area=1623
Frame 220: objs=[1], area=1630
Frame 221: objs=[1], area=1642
Frame 222: objs=[1], area=1656
Frame 223: objs=[1], area=1689
Frame 224: objs=[1], area=1671
Frame 225: objs=[1], area=1694
Frame 226: objs=[1], area=1670
Frame 227: objs=[1], area=1677
Frame 228: objs=[1], area=1658
Frame 229: objs=[1], area=1694
Frame 230: objs=[1], area=1680
Frame 231: objs=[1], area=1703
Frame 232: objs=[1], area=1714
Frame 233: objs=[1], area=1742
Frame 234: objs=[1], area=1698
Frame 235: objs=[1], area=1755
Frame 236: objs=[1], area=1765
Frame 237: objs=[1], area=1811
Frame 238: objs=[1], area=1813
Frame 239: objs=[1], area=1771
Frame 240: objs=[1], area=1758
Frame 241: objs=[1], area=1629
Frame 242: objs=[1], area=1653
Frame 243: objs=[1], area=1676
Frame 244: objs=[1], area=1543
Frame 245: objs=[1], area=1493
Frame 246: objs=[1], area=1633
Frame 247: objs=[1], area=1359
Frame 248: objs=[1], area=1448
Frame 249: objs=[1], area=1663
Frame 250: objs=[1], area=1718
Frame 251: objs=[1], area=1556
Frame 252: objs=[1], area=1516
Frame 253: objs=[1], area=1543
Frame 254: objs=[1], area=1570
Frame 255: objs=[1], area=1588
Frame 256: objs=[1], area=1534
Frame 257: objs=[1], area=1527
Frame 258: objs=[1], area=1551
Frame 259: objs=[1], area=1510
Frame 260: objs=[1], area=1413
Frame 261: objs=[1], area=994
Frame 262: objs=[1], area=821
Frame 263: objs=[1], area=652
Frame 264: objs=[1], area=446
Frame 265: objs=[1], area=390
Frame 266: objs=[1], area=301
Frame 267: objs=[1], area=255
Frame 268: objs=[1], area=471
Frame 269: objs=[1], area=457
Frame 270: objs=[1], area=444
Frame 271: objs=[1], area=344
Frame 272: objs=[1], area=128
Frame 273: objs=[1], area=0
Frame 274: objs=[1], area=0
Frame 275: objs=[1], area=294
Frame 276: objs=[1], area=344
Frame 277: objs=[1], area=377
Frame 278: objs=[1], area=392
Frame 279: objs=[1], area=411
Frame 280: objs=[1], area=380
Frame 281: objs=[1], area=345
Frame 282: objs=[1], area=345
Frame 283: objs=[1], area=384
Frame 284: objs=[1], area=377
Frame 285: objs=[1], area=471
Frame 286: objs=[1], area=571
Frame 287: objs=[1], area=575
Frame 288: objs=[1], area=737
