SAM2 Video Prediction: 02_cups
==================================================
Input: C:\workspace\SAM2\.dataset\video_samples\02_cups\02_cups.mp4
Frames: 300, Size: 1280x720
FPS: 30.0
Checkpoint: loaded
Device: cuda
Inference: 28.32s (10.6 FPS)

Frame 0: objs=[1], area=4311
Frame 1: objs=[1], area=4295
Saving: 8.69s
Pipeline total: 37.60s
Frame 2: objs=[1], area=4286
Frame 3: objs=[1], area=4284
Frame 4: objs=[1], area=4283
Frame 5: objs=[1], area=4281
Frame 6: objs=[1], area=4280
Frame 7: objs=[1], area=4283
Frame 8: objs=[1], area=4282
Frame 9: objs=[1], area=4283
Frame 10: objs=[1], area=4281
Frame 11: objs=[1], area=4281
Frame 12: objs=[1], area=4280
Frame 13: objs=[1], area=4286
Frame 14: objs=[1], area=4287
Frame 15: objs=[1], area=4299
Frame 16: objs=[1], area=4323
Frame 17: objs=[1], area=4305
Frame 18: objs=[1], area=4290
Frame 19: objs=[1], area=4280
Frame 20: objs=[1], area=4282
Frame 21: objs=[1], area=3791
Frame 22: objs=[1], area=3089
Frame 23: objs=[1], area=2380
Frame 24: objs=[1], area=1671
Frame 25: objs=[1], area=1165
Frame 26: objs=[1], area=545
Frame 27: objs=[1], area=209
Frame 28: objs=[1], area=0
Frame 29: objs=[1], area=0
Frame 30: objs=[1], area=0
Frame 31: objs=[1], area=0
Frame 32: objs=[1], area=0
Frame 33: objs=[1], area=0
Frame 34: objs=[1], area=0
Frame 35: objs=[1], area=0
Frame 36: objs=[1], area=0
Frame 37: objs=[1], area=0
Frame 38: objs=[1], area=0
Frame 39: objs=[1], area=0
Frame 40: objs=[1], area=0
Frame 41: objs=[1], area=0
Frame 42: objs=[1], area=0
Frame 43: objs=[1], area=0
Frame 44: objs=[1], area=0
Frame 45: objs=[1], area=0
Frame 46: objs=[1], area=0
Frame 47: objs=[1], area=0
Frame 48: objs=[1], area=0
Frame 49: objs=[1], area=0
Frame 50: objs=[1], area=0
Frame 51: objs=[1], area=0
Frame 52: objs=[1], area=0
Frame 53: objs=[1], area=0
Frame 54: objs=[1], area=0
Frame 55: objs=[1], area=0
Frame 56: objs=[1], area=0
Frame 57: objs=[1], area=0
Frame 58: objs=[1], area=0
Frame 59: objs=[1], area=0
Frame 60: objs=[1], area=0
Frame 61: objs=[1], area=0
Frame 62: objs=[1], area=0
Frame 63: objs=[1], area=0
Frame 64: objs=[1], area=0
Frame 65: objs=[1], area=0
Frame 66: objs=[1], area=0
Frame 67: objs=[1], area=0
Frame 68: objs=[1], area=0
Frame 69: objs=[1], area=0
Frame 70: objs=[1], area=0
Frame 71: objs=[1], area=0
Frame 72: objs=[1], area=0
Frame 73: objs=[1], area=0
Frame 74: objs=[1], area=0
Frame 75: objs=[1], area=0
Frame 76: objs=[1], area=0
Frame 77: objs=[1], area=0
Frame 78: objs=[1], area=0
Frame 79: objs=[1], area=0
Frame 80: objs=[1], area=0
Frame 81: objs=[1], area=0
Frame 82: objs=[1], area=0
Frame 83: objs=[1], area=0
Frame 84: objs=[1], area=0
Frame 85: objs=[1], area=0
Frame 86: objs=[1], area=0
Frame 87: objs=[1], area=0
Frame 88: objs=[1], area=0
Frame 89: objs=[1], area=0
Frame 90: objs=[1], area=0
Frame 91: objs=[1], area=0
Frame 92: objs=[1], area=0
Frame 93: objs=[1], area=0
Frame 94: objs=[1], area=0
Frame 95: objs=[1], area=0
Frame 96: objs=[1], area=0
Frame 97: objs=[1], area=0
Frame 98: objs=[1], area=0
Frame 99: objs=[1], area=0
Frame 100: objs=[1], area=0
Frame 101: objs=[1], area=0
Frame 102: objs=[1], area=0
Frame 103: objs=[1], area=0
Frame 104: objs=[1], area=0
Frame 105: objs=[1], area=2194
Frame 106: objs=[1], area=0
Frame 107: objs=[1], area=0
Frame 108: objs=[1], area=0
Frame 109: objs=[1], area=0
Frame 110: objs=[1], area=1694
Frame 111: objs=[1], area=1684
Frame 112: objs=[1], area=1431
Frame 113: objs=[1], area=1644
Frame 114: objs=[1], area=1611
Frame 115: objs=[1], area=1713
Frame 116: objs=[1], area=1770
Frame 117: objs=[1], area=1658
Frame 118: objs=[1], area=1445
Frame 119: objs=[1], area=1103
Frame 120: objs=[1], area=888
Frame 121: objs=[1], area=557
Frame 122: objs=[1], area=553
Frame 123: objs=[1], area=541
Frame 124: objs=[1], area=587
Frame 125: objs=[1], area=579
Frame 126: objs=[1], area=523
Frame 127: objs=[1], area=489
Frame 128: objs=[1], area=468
Frame 129: objs=[1], area=503
Frame 130: objs=[1], area=408
Frame 131: objs=[1], area=311
Frame 132: objs=[1], area=336
Frame 133: objs=[1], area=266
Frame 134: objs=[1], area=268
Frame 135: objs=[1], area=284
Frame 136: objs=[1], area=180
Frame 137: objs=[1], area=246
Frame 138: objs=[1], area=290
Frame 139: objs=[1], area=292
Frame 140: objs=[1], area=300
Frame 141: objs=[1], area=284
Frame 142: objs=[1], area=506
Frame 143: objs=[1], area=822
Frame 144: objs=[1], area=875
Frame 145: objs=[1], area=768
Frame 146: objs=[1], area=665
Frame 147: objs=[1], area=610
Frame 148: objs=[1], area=578
Frame 149: objs=[1], area=581
Frame 150: objs=[1], area=626
Frame 151: objs=[1], area=559
Frame 152: objs=[1], area=615
Frame 153: objs=[1], area=845
Frame 154: objs=[1], area=1090
Frame 155: objs=[1], area=983
Frame 156: objs=[1], area=700
Frame 157: objs=[1], area=448
Frame 158: objs=[1], area=508
Frame 159: objs=[1], area=683
Frame 160: objs=[1], area=718
Frame 161: objs=[1], area=575
Frame 162: objs=[1], area=347
Frame 163: objs=[1], area=497
Frame 164: objs=[1], area=460
Frame 165: objs=[1], area=504
Frame 166: objs=[1], area=453
Frame 167: objs=[1], area=437
Frame 168: objs=[1], area=500
Frame 169: objs=[1], area=478
Frame 170: objs=[1], area=482
Frame 171: objs=[1], area=293
Frame 172: objs=[1], area=243
Frame 173: objs=[1], area=216
Frame 174: objs=[1], area=220
Frame 175: objs=[1], area=265
Frame 176: objs=[1], area=274
Frame 177: objs=[1], area=293
Frame 178: objs=[1], area=299
Frame 179: objs=[1], area=281
Frame 180: objs=[1], area=326
Frame 181: objs=[1], area=276
Frame 182: objs=[1], area=283
Frame 183: objs=[1], area=232
Frame 184: objs=[1], area=158
Frame 185: objs=[1], area=155
Frame 186: objs=[1], area=177
Frame 187: objs=[1], area=199
Frame 188: objs=[1], area=194
Frame 189: objs=[1], area=167
Frame 190: objs=[1], area=171
Frame 191: objs=[1], area=158
Frame 192: objs=[1], area=192
Frame 193: objs=[1], area=146
Frame 194: objs=[1], area=204
Frame 195: objs=[1], area=234
Frame 196: objs=[1], area=233
Frame 197: objs=[1], area=238
Frame 198: objs=[1], area=264
Frame 199: objs=[1], area=239
Frame 200: objs=[1], area=287
Frame 201: objs=[1], area=369
Frame 202: objs=[1], area=477
Frame 203: objs=[1], area=509
Frame 204: objs=[1], area=540
Frame 205: objs=[1], area=433
Frame 206: objs=[1], area=437
Frame 207: objs=[1], area=414
Frame 208: objs=[1], area=406
Frame 209: objs=[1], area=369
Frame 210: objs=[1], area=448
Frame 211: objs=[1], area=559
Frame 212: objs=[1], area=591
Frame 213: objs=[1], area=699
Frame 214: objs=[1], area=585
Frame 215: objs=[1], area=191
Frame 216: objs=[1], area=195
Frame 217: objs=[1], area=626
Frame 218: objs=[1], area=622
Frame 219: objs=[1], area=455
Frame 220: objs=[1], area=789
Frame 221: objs=[1], area=886
Frame 222: objs=[1], area=646
Frame 223: objs=[1], area=148
Frame 224: objs=[1], area=0
Frame 225: objs=[1], area=320
Frame 226: objs=[1], area=246
Frame 227: objs=[1], area=224
Frame 228: objs=[1], area=924
Frame 229: objs=[1], area=1017
Frame 230: objs=[1], area=1216
Frame 231: objs=[1], area=1067
Frame 232: objs=[1], area=771
Frame 233: objs=[1], area=727
Frame 234: objs=[1], area=508
Frame 235: objs=[1], area=482
Frame 236: objs=[1], area=485
Frame 237: objs=[1], area=508
Frame 238: objs=[1], area=475
Frame 239: objs=[1], area=485
Frame 240: objs=[1], area=498
Frame 241: objs=[1], area=516
Frame 242: objs=[1], area=515
Frame 243: objs=[1], area=534
Frame 244: objs=[1], area=570
Frame 245: objs=[1], area=509
Frame 246: objs=[1], area=474
Frame 247: objs=[1], area=742
Frame 248: objs=[1], area=654
Frame 249: objs=[1], area=598
Frame 250: objs=[1], area=636
Frame 251: objs=[1], area=698
Frame 252: objs=[1], area=671
Frame 253: objs=[1], area=843
Frame 254: objs=[1], area=0
Frame 255: objs=[1], area=0
Frame 256: objs=[1], area=257
Frame 257: objs=[1], area=298
Frame 258: objs=[1], area=382
Frame 259: objs=[1], area=497
Frame 260: objs=[1], area=392
Frame 261: objs=[1], area=0
Frame 262: objs=[1], area=0
Frame 263: objs=[1], area=0
Frame 264: objs=[1], area=0
Frame 265: objs=[1], area=0
Frame 266: objs=[1], area=0
Frame 267: objs=[1], area=0
Frame 268: objs=[1], area=0
Frame 269: objs=[1], area=0
Frame 270: objs=[1], area=0
Frame 271: objs=[1], area=0
Frame 272: objs=[1], area=0
Frame 273: objs=[1], area=0
Frame 274: objs=[1], area=0
Frame 275: objs=[1], area=0
Frame 276: objs=[1], area=0
Frame 277: objs=[1], area=0
Frame 278: objs=[1], area=0
Frame 279: objs=[1], area=0
Frame 280: objs=[1], area=0
Frame 281: objs=[1], area=0
Frame 282: objs=[1], area=0
Frame 283: objs=[1], area=0
Frame 284: objs=[1], area=0
Frame 285: objs=[1], area=948
Frame 286: objs=[1], area=3995
Frame 287: objs=[1], area=4484
Frame 288: objs=[1], area=4482
Frame 289: objs=[1], area=4617
Frame 290: objs=[1], area=4621
Frame 291: objs=[1], area=4590
Frame 292: objs=[1], area=4635
Frame 293: objs=[1], area=4712
Frame 294: objs=[1], area=4782
Frame 295: objs=[1], area=4871
Frame 296: objs=[1], area=4981
Frame 297: objs=[1], area=5055
Frame 298: objs=[1], area=5123
Frame 299: objs=[1], area=5273
