SAM2 Video Prediction: 03_blocks
==================================================
Input: C:\workspace\SAM2\.dataset\video_samples\03_blocks\03_blocks.mp4
Frames: 292, Size: 1280x720
FPS: 30.0
Checkpoint: loaded
Device: cuda
Inference: 27.24s (10.7 FPS)

Frame 0: objs=[1], area=6669
Frame 1: objs=[1], area=6847
Saving: 8.52s
Pipeline total: 36.43s
Frame 2: objs=[1], area=6845
Frame 3: objs=[1], area=6853
Frame 4: objs=[1], area=6854
Frame 5: objs=[1], area=6860
Frame 6: objs=[1], area=6864
Frame 7: objs=[1], area=6868
Frame 8: objs=[1], area=6869
Frame 9: objs=[1], area=6871
Frame 10: objs=[1], area=6873
Frame 11: objs=[1], area=6871
Frame 12: objs=[1], area=6866
Frame 13: objs=[1], area=6868
Frame 14: objs=[1], area=6863
Frame 15: objs=[1], area=6863
Frame 16: objs=[1], area=6863
Frame 17: objs=[1], area=6860
Frame 18: objs=[1], area=6856
Frame 19: objs=[1], area=6855
Frame 20: objs=[1], area=6850
Frame 21: objs=[1], area=6841
Frame 22: objs=[1], area=6827
Frame 23: objs=[1], area=6688
Frame 24: objs=[1], area=4861
Frame 25: objs=[1], area=2577
Frame 26: objs=[1], area=846
Frame 27: objs=[1], area=276
Frame 28: objs=[1], area=198
Frame 29: objs=[1], area=0
Frame 30: objs=[1], area=0
Frame 31: objs=[1], area=0
Frame 32: objs=[1], area=0
Frame 33: objs=[1], area=154
Frame 34: objs=[1], area=300
Frame 35: objs=[1], area=425
Frame 36: objs=[1], area=554
Frame 37: objs=[1], area=728
Frame 38: objs=[1], area=898
Frame 39: objs=[1], area=1303
Frame 40: objs=[1], area=1636
Frame 41: objs=[1], area=1086
Frame 42: objs=[1], area=698
Frame 43: objs=[1], area=810
Frame 44: objs=[1], area=720
Frame 45: objs=[1], area=656
Frame 46: objs=[1], area=604
Frame 47: objs=[1], area=606
Frame 48: objs=[1], area=517
Frame 49: objs=[1], area=503
Frame 50: objs=[1], area=395
Frame 51: objs=[1], area=324
Frame 52: objs=[1], area=264
Frame 53: objs=[1], area=214
Frame 54: objs=[1], area=131
Frame 55: objs=[1], area=127
Frame 56: objs=[1], area=102
Frame 57: objs=[1], area=71
Frame 58: objs=[1], area=0
Frame 59: objs=[1], area=0
Frame 60: objs=[1], area=0
Frame 61: objs=[1], area=0
Frame 62: objs=[1], area=0
Frame 63: objs=[1], area=0
Frame 64: objs=[1], area=0
Frame 65: objs=[1], area=0
Frame 66: objs=[1], area=134
Frame 67: objs=[1], area=184
Frame 68: objs=[1], area=167
Frame 69: objs=[1], area=0
Frame 70: objs=[1], area=0
Frame 71: objs=[1], area=0
Frame 72: objs=[1], area=0
Frame 73: objs=[1], area=0
Frame 74: objs=[1], area=0
Frame 75: objs=[1], area=0
Frame 76: objs=[1], area=0
Frame 77: objs=[1], area=0
Frame 78: objs=[1], area=0
Frame 79: objs=[1], area=0
Frame 80: objs=[1], area=0
Frame 81: objs=[1], area=2543
Frame 82: objs=[1], area=4543
Frame 83: objs=[1], area=6296
Frame 84: objs=[1], area=6595
Frame 85: objs=[1], area=6612
Frame 86: objs=[1], area=6617
Frame 87: objs=[1], area=6628
Frame 88: objs=[1], area=6612
Frame 89: objs=[1], area=6601
Frame 90: objs=[1], area=6603
Frame 91: objs=[1], area=6609
Frame 92: objs=[1], area=6610
Frame 93: objs=[1], area=6615
Frame 94: objs=[1], area=6614
Frame 95: objs=[1], area=6615
Frame 96: objs=[1], area=6622
Frame 97: objs=[1], area=6629
Frame 98: objs=[1], area=6631
Frame 99: objs=[1], area=6629
Frame 100: objs=[1], area=6628
Frame 101: objs=[1], area=6629
Frame 102: objs=[1], area=6631
Frame 103: objs=[1], area=6631
Frame 104: objs=[1], area=6631
Frame 105: objs=[1], area=6633
Frame 106: objs=[1], area=6639
Frame 107: objs=[1], area=6632
Frame 108: objs=[1], area=6638
Frame 109: objs=[1], area=6633
Frame 110: objs=[1], area=6640
Frame 111: objs=[1], area=6638
Frame 112: objs=[1], area=6636
Frame 113: objs=[1], area=6641
Frame 114: objs=[1], area=6642
Frame 115: objs=[1], area=6642
Frame 116: objs=[1], area=6642
Frame 117: objs=[1], area=6639
Frame 118: objs=[1], area=6642
Frame 119: objs=[1], area=6641
Frame 120: objs=[1], area=6643
Frame 121: objs=[1], area=6645
Frame 122: objs=[1], area=6646
Frame 123: objs=[1], area=6647
Frame 124: objs=[1], area=6646
Frame 125: objs=[1], area=6645
Frame 126: objs=[1], area=6647
Frame 127: objs=[1], area=6647
Frame 128: objs=[1], area=6644
Frame 129: objs=[1], area=6653
Frame 130: objs=[1], area=6643
Frame 131: objs=[1], area=6758
Frame 132: objs=[1], area=6748
Frame 133: objs=[1], area=6736
Frame 134: objs=[1], area=6736
Frame 135: objs=[1], area=6739
Frame 136: objs=[1], area=6742
Frame 137: objs=[1], area=6744
Frame 138: objs=[1], area=6740
Frame 139: objs=[1], area=6739
Frame 140: objs=[1], area=6738
Frame 141: objs=[1], area=6734
Frame 142: objs=[1], area=6732
Frame 143: objs=[1], area=6727
Frame 144: objs=[1], area=6726
Frame 145: objs=[1], area=6722
Frame 146: objs=[1], area=6721
Frame 147: objs=[1], area=6719
Frame 148: objs=[1], area=6722
Frame 149: objs=[1], area=6730
Frame 150: objs=[1], area=6727
Frame 151: objs=[1], area=6732
Frame 152: objs=[1], area=6740
Frame 153: objs=[1], area=6651
Frame 154: objs=[1], area=6657
Frame 155: objs=[1], area=6651
Frame 156: objs=[1], area=6650
Frame 157: objs=[1], area=6646
Frame 158: objs=[1], area=6642
Frame 159: objs=[1], area=6651
Frame 160: objs=[1], area=6647
Frame 161: objs=[1], area=6641
Frame 162: objs=[1], area=6641
Frame 163: objs=[1], area=6642
Frame 164: objs=[1], area=6639
Frame 165: objs=[1], area=6639
Frame 166: objs=[1], area=6640
Frame 167: objs=[1], area=6640
Frame 168: objs=[1], area=6646
Frame 169: objs=[1], area=6640
Frame 170: objs=[1], area=6641
Frame 171: objs=[1], area=6639
Frame 172: objs=[1], area=6640
Frame 173: objs=[1], area=6642
Frame 174: objs=[1], area=6645
Frame 175: objs=[1], area=6645
Frame 176: objs=[1], area=6643
Frame 177: objs=[1], area=6643
Frame 178: objs=[1], area=6643
Frame 179: objs=[1], area=6644
Frame 180: objs=[1], area=6639
Frame 181: objs=[1], area=6641
Frame 182: objs=[1], area=6639
Frame 183: objs=[1], area=6638
Frame 184: objs=[1], area=6636
Frame 185: objs=[1], area=6633
Frame 186: objs=[1], area=6634
Frame 187: objs=[1], area=6633
Frame 188: objs=[1], area=6636
Frame 189: objs=[1], area=6637
Frame 190: objs=[1], area=6639
Frame 191: objs=[1], area=6639
Frame 192: objs=[1], area=6642
Frame 193: objs=[1], area=6640
Frame 194: objs=[1], area=6635
Frame 195: objs=[1], area=6642
Frame 196: objs=[1], area=6644
Frame 197: objs=[1], area=6645
Frame 198: objs=[1], area=6650
Frame 199: objs=[1], area=6753
Frame 200: objs=[1], area=6664
Frame 201: objs=[1], area=3832
Frame 202: objs=[1], area=185
Frame 203: objs=[1], area=0
Frame 204: objs=[1], area=0
Frame 205: objs=[1], area=0
Frame 206: objs=[1], area=0
Frame 207: objs=[1], area=0
Frame 208: objs=[1], area=0
Frame 209: objs=[1], area=0
Frame 210: objs=[1], area=0
Frame 211: objs=[1], area=0
Frame 212: objs=[1], area=0
Frame 213: objs=[1], area=0
Frame 214: objs=[1], area=0
Frame 215: objs=[1], area=0
Frame 216: objs=[1], area=0
Frame 217: objs=[1], area=0
Frame 218: objs=[1], area=0
Frame 219: objs=[1], area=0
Frame 220: objs=[1], area=0
Frame 221: objs=[1], area=0
Frame 222: objs=[1], area=0
Frame 223: objs=[1], area=0
Frame 224: objs=[1], area=0
Frame 225: objs=[1], area=1147
Frame 226: objs=[1], area=4118
Frame 227: objs=[1], area=6509
Frame 228: objs=[1], area=6465
Frame 229: objs=[1], area=6489
Frame 230: objs=[1], area=6503
Frame 231: objs=[1], area=6518
Frame 232: objs=[1], area=6526
Frame 233: objs=[1], area=6533
Frame 234: objs=[1], area=6532
Frame 235: objs=[1], area=6534
Frame 236: objs=[1], area=6536
Frame 237: objs=[1], area=6537
Frame 238: objs=[1], area=6538
Frame 239: objs=[1], area=6542
Frame 240: objs=[1], area=6547
Frame 241: objs=[1], area=6555
Frame 242: objs=[1], area=6565
Frame 243: objs=[1], area=6563
Frame 244: objs=[1], area=6562
Frame 245: objs=[1], area=6569
Frame 246: objs=[1], area=6573
Frame 247: objs=[1], area=6574
Frame 248: objs=[1], area=6569
Frame 249: objs=[1], area=6573
Frame 250: objs=[1], area=6571
Frame 251: objs=[1], area=6570
Frame 252: objs=[1], area=6569
Frame 253: objs=[1], area=6569
Frame 254: objs=[1], area=6569
Frame 255: objs=[1], area=6568
Frame 256: objs=[1], area=6571
Frame 257: objs=[1], area=6569
Frame 258: objs=[1], area=6572
Frame 259: objs=[1], area=6572
Frame 260: objs=[1], area=6575
Frame 261: objs=[1], area=6574
Frame 262: objs=[1], area=6577
Frame 263: objs=[1], area=6578
Frame 264: objs=[1], area=6576
Frame 265: objs=[1], area=6577
Frame 266: objs=[1], area=6577
Frame 267: objs=[1], area=6577
Frame 268: objs=[1], area=6576
Frame 269: objs=[1], area=6577
Frame 270: objs=[1], area=6580
Frame 271: objs=[1], area=6578
Frame 272: objs=[1], area=6581
Frame 273: objs=[1], area=6578
Frame 274: objs=[1], area=6579
Frame 275: objs=[1], area=6580
Frame 276: objs=[1], area=6579
Frame 277: objs=[1], area=6575
Frame 278: objs=[1], area=6574
Frame 279: objs=[1], area=6569
Frame 280: objs=[1], area=6578
Frame 281: objs=[1], area=6576
Frame 282: objs=[1], area=6577
Frame 283: objs=[1], area=6581
Frame 284: objs=[1], area=6585
Frame 285: objs=[1], area=6587
Frame 286: objs=[1], area=6588
Frame 287: objs=[1], area=6588
Frame 288: objs=[1], area=6587
Frame 289: objs=[1], area=6587
Frame 290: objs=[1], area=6585
Frame 291: objs=[1], area=6586
