SAM2 Video Prediction: 04_coffee
==================================================
Input: C:\workspace\SAM2\.dataset\video_samples\04_coffee\04_coffee.mp4
Frames: 287, Size: 1280x720
FPS: 30.0
Checkpoint: loaded
Device: cuda
Inference: 53.91s (5.3 FPS)

Frame 0: objs=[1, 2], area=53024
Frame 1: objs=[1, 2], area=52806
Saving: 17.80s
Pipeline total: 72.37s
Frame 2: objs=[1, 2], area=52402
Frame 3: objs=[1, 2], area=52342
Frame 4: objs=[1, 2], area=51854
Frame 5: objs=[1, 2], area=51218
Frame 6: objs=[1, 2], area=50658
Frame 7: objs=[1, 2], area=50051
Frame 8: objs=[1, 2], area=49554
Frame 9: objs=[1, 2], area=49307
Frame 10: objs=[1, 2], area=49474
Frame 11: objs=[1, 2], area=49845
Frame 12: objs=[1, 2], area=50559
Frame 13: objs=[1, 2], area=51022
Frame 14: objs=[1, 2], area=51406
Frame 15: objs=[1, 2], area=51934
Frame 16: objs=[1, 2], area=52170
Frame 17: objs=[1, 2], area=52487
Frame 18: objs=[1, 2], area=52802
Frame 19: objs=[1, 2], area=53009
Frame 20: objs=[1, 2], area=53414
Frame 21: objs=[1, 2], area=53673
Frame 22: objs=[1, 2], area=53859
Frame 23: objs=[1, 2], area=54109
Frame 24: objs=[1, 2], area=54420
Frame 25: objs=[1, 2], area=54700
Frame 26: objs=[1, 2], area=54892
Frame 27: objs=[1, 2], area=55048
Frame 28: objs=[1, 2], area=55296
Frame 29: objs=[1, 2], area=55566
Frame 30: objs=[1, 2], area=55763
Frame 31: objs=[1, 2], area=56052
Frame 32: objs=[1, 2], area=56456
Frame 33: objs=[1, 2], area=56724
Frame 34: objs=[1, 2], area=57013
Frame 35: objs=[1, 2], area=57336
Frame 36: objs=[1, 2], area=57622
Frame 37: objs=[1, 2], area=57799
Frame 38: objs=[1, 2], area=57992
Frame 39: objs=[1, 2], area=58239
Frame 40: objs=[1, 2], area=58445
Frame 41: objs=[1, 2], area=58701
Frame 42: objs=[1, 2], area=58937
Frame 43: objs=[1, 2], area=59131
Frame 44: objs=[1, 2], area=59418
Frame 45: objs=[1, 2], area=59601
Frame 46: objs=[1, 2], area=59518
Frame 47: objs=[1, 2], area=59851
Frame 48: objs=[1, 2], area=60015
Frame 49: objs=[1, 2], area=60167
Frame 50: objs=[1, 2], area=60466
Frame 51: objs=[1, 2], area=60541
Frame 52: objs=[1, 2], area=60667
Frame 53: objs=[1, 2], area=60879
Frame 54: objs=[1, 2], area=60942
Frame 55: objs=[1, 2], area=61040
Frame 56: objs=[1, 2], area=61132
Frame 57: objs=[1, 2], area=61376
Frame 58: objs=[1, 2], area=61463
Frame 59: objs=[1, 2], area=61556
Frame 60: objs=[1, 2], area=61770
Frame 61: objs=[1, 2], area=61906
Frame 62: objs=[1, 2], area=62098
Frame 63: objs=[1, 2], area=62260
Frame 64: objs=[1, 2], area=62245
Frame 65: objs=[1, 2], area=62243
Frame 66: objs=[1, 2], area=62051
Frame 67: objs=[1, 2], area=62019
Frame 68: objs=[1, 2], area=61802
Frame 69: objs=[1, 2], area=61371
Frame 70: objs=[1, 2], area=61161
Frame 71: objs=[1, 2], area=60632
Frame 72: objs=[1, 2], area=60076
Frame 73: objs=[1, 2], area=59174
Frame 74: objs=[1, 2], area=58115
Frame 75: objs=[1, 2], area=56976
Frame 76: objs=[1, 2], area=55789
Frame 77: objs=[1, 2], area=54487
Frame 78: objs=[1, 2], area=53302
Frame 79: objs=[1, 2], area=52211
Frame 80: objs=[1, 2], area=51107
Frame 81: objs=[1, 2], area=50195
Frame 82: objs=[1, 2], area=49131
Frame 83: objs=[1, 2], area=48396
Frame 84: objs=[1, 2], area=47588
Frame 85: objs=[1, 2], area=46988
Frame 86: objs=[1, 2], area=46536
Frame 87: objs=[1, 2], area=46316
Frame 88: objs=[1, 2], area=46287
Frame 89: objs=[1, 2], area=46068
Frame 90: objs=[1, 2], area=45898
Frame 91: objs=[1, 2], area=45767
Frame 92: objs=[1, 2], area=45642
Frame 93: objs=[1, 2], area=45514
Frame 94: objs=[1, 2], area=45478
Frame 95: objs=[1, 2], area=45288
Frame 96: objs=[1, 2], area=45103
Frame 97: objs=[1, 2], area=44853
Frame 98: objs=[1, 2], area=44626
Frame 99: objs=[1, 2], area=44439
Frame 100: objs=[1, 2], area=44272
Frame 101: objs=[1, 2], area=44172
Frame 102: objs=[1, 2], area=44177
Frame 103: objs=[1, 2], area=44240
Frame 104: objs=[1, 2], area=44379
Frame 105: objs=[1, 2], area=44614
Frame 106: objs=[1, 2], area=44862
Frame 107: objs=[1, 2], area=45174
Frame 108: objs=[1, 2], area=45472
Frame 109: objs=[1, 2], area=45723
Frame 110: objs=[1, 2], area=46056
Frame 111: objs=[1, 2], area=46371
Frame 112: objs=[1, 2], area=46540
