SAM2 Video Prediction: 05_default_juggle
==================================================
Input: C:\workspace\SAM2\.dataset\video_samples\05_default_juggle\05_default_juggle.mp4
Frames: 247, Size: 1280x720
FPS: 24.0
Checkpoint: loaded
Device: cuda
Inference: 23.18s (10.7 FPS)

Frame 0: objs=[1], area=4782
Frame 1: objs=[1], area=4766
Saving: 8.67s
Pipeline total: 32.55s
Frame 2: objs=[1], area=4782
Frame 3: objs=[1], area=4732
Frame 4: objs=[1], area=4972
Frame 5: objs=[1], area=4998
Frame 6: objs=[1], area=5195
Frame 7: objs=[1], area=5263
Frame 8: objs=[1], area=5368
Frame 9: objs=[1], area=5466
Frame 10: objs=[1], area=5926
Frame 11: objs=[1], area=5897
Frame 12: objs=[1], area=6091
Frame 13: objs=[1], area=6350
Frame 14: objs=[1], area=6618
Frame 15: objs=[1], area=6663
Frame 16: objs=[1], area=6745
Frame 17: objs=[1], area=6483
Frame 18: objs=[1], area=6182
Frame 19: objs=[1], area=6132
Frame 20: objs=[1], area=6104
Frame 21: objs=[1], area=6147
Frame 22: objs=[1], area=5964
Frame 23: objs=[1], area=5914
Frame 24: objs=[1], area=5926
Frame 25: objs=[1], area=5980
Frame 26: objs=[1], area=6256
Frame 27: objs=[1], area=6390
Frame 28: objs=[1], area=6511
Frame 29: objs=[1], area=6733
Frame 30: objs=[1], area=6936
Frame 31: objs=[1], area=6510
Frame 32: objs=[1], area=6733
Frame 33: objs=[1], area=6532
Frame 34: objs=[1], area=6183
Frame 35: objs=[1], area=5987
Frame 36: objs=[1], area=5801
Frame 37: objs=[1], area=5739
Frame 38: objs=[1], area=5553
Frame 39: objs=[1], area=5557
Frame 40: objs=[1], area=5558
Frame 41: objs=[1], area=5595
Frame 42: objs=[1], area=5605
Frame 43: objs=[1], area=5626
Frame 44: objs=[1], area=5459
Frame 45: objs=[1], area=5192
Frame 46: objs=[1], area=5364
Frame 47: objs=[1], area=5472
Frame 48: objs=[1], area=5488
Frame 49: objs=[1], area=5578
Frame 50: objs=[1], area=5645
Frame 51: objs=[1], area=5807
Frame 52: objs=[1], area=5864
Frame 53: objs=[1], area=5854
Frame 54: objs=[1], area=6063
Frame 55: objs=[1], area=6304
Frame 56: objs=[1], area=6550
Frame 57: objs=[1], area=6757
Frame 58: objs=[1], area=7424
Frame 59: objs=[1], area=6469
Frame 60: objs=[1], area=6990
Frame 61: objs=[1], area=6762
Frame 62: objs=[1], area=6378
Frame 63: objs=[1], area=6118
Frame 64: objs=[1], area=6084
Frame 65: objs=[1], area=6154
Frame 66: objs=[1], area=6179
Frame 67: objs=[1], area=6168
Frame 68: objs=[1], area=6142
Frame 69: objs=[1], area=6200
Frame 70: objs=[1], area=6254
Frame 71: objs=[1], area=6260
Frame 72: objs=[1], area=5786
Frame 73: objs=[1], area=6176
Frame 74: objs=[1], area=6437
Frame 75: objs=[1], area=6305
Frame 76: objs=[1], area=6413
Frame 77: objs=[1], area=6208
Frame 78: objs=[1], area=6134
Frame 79: objs=[1], area=6123
Frame 80: objs=[1], area=6219
Frame 81: objs=[1], area=6155
Frame 82: objs=[1], area=6037
Frame 83: objs=[1], area=6100
Frame 84: objs=[1], area=6139
Frame 85: objs=[1], area=6300
Frame 86: objs=[1], area=6665
Frame 87: objs=[1], area=6802
Frame 88: objs=[1], area=7188
Frame 89: objs=[1], area=7468
Frame 90: objs=[1], area=7939
Frame 91: objs=[1], area=8016
Frame 92: objs=[1], area=6718
Frame 93: objs=[1], area=7409
Frame 94: objs=[1], area=7262
Frame 95: objs=[1], area=7104
Frame 96: objs=[1], area=7068
Frame 97: objs=[1], area=7161
Frame 98: objs=[1], area=6834
Frame 99: objs=[1], area=6788
Frame 100: objs=[1], area=6810
Frame 101: objs=[1], area=6947
Frame 102: objs=[1], area=7211
Frame 103: objs=[1], area=7454
Frame 104: objs=[1], area=7761
Frame 105: objs=[1], area=7712
Frame 106: objs=[1], area=8076
Frame 107: objs=[1], area=10631
Frame 108: objs=[1], area=12358
Frame 109: objs=[1], area=8064
Frame 110: objs=[1], area=7882
Frame 111: objs=[1], area=7441
Frame 112: objs=[1], area=7339
Frame 113: objs=[1], area=7297
Frame 114: objs=[1], area=7183
